ad_id,list_id,area,area_name,ward,ward_name,street_name,company_ad,apartment_type,size,rooms,toilets,longitude,latitude,owner,deposit,price_million_per_m2,price
154793199,114033523,110,Quận Gò Vấp,9273.0,Phường 4,Lê Lợi,True,"Căn hộ dịch vụ, mini",25.0,1,1.0,106.6856,10.8192,False,1.0,0.192,4800000.0
154793203,114033527,108,Quận Bình Tân,9458.0,Phường Bình Hưng Hoà B,Bình Hưng Hòa B,True,Chung cư,68.0,2,2.0,106.583,10.799900000000001,False,16000000.0,0.11764705882352901,8000000.0
144755522,105513854,119,Thành phố Thủ Đức,9239.0,Phường Bình Chiểu (Quận Thủ Đức cũ),D6,True,Chung cư,70.0,2,2.0,106.72796,10.88364,False,0.0,0.09285714285714201,6500000.0
154944230,114164612,109,Quận Bình Thạnh,9284.0,Phường 25,Nguyễn Văn Thương,True,"Căn hộ dịch vụ, mini",40.0,1,1.0,106.7192,10.8022,False,0.0,0.195,7800000.0
154944233,114164613,109,Quận Bình Thạnh,9293.0,Phường 3,Nơ Trang Long,True,"Căn hộ dịch vụ, mini",35.0,1,1.0,106.6949,10.8027,False,4500000.0,0.128571428571428,4500000.0
154793219,114033545,111,Quận Phú Nhuận,9329.0,Phường 3,Phan Đăng Lưu,True,"Căn hộ dịch vụ, mini",25.0,1,1.0,106.6828,10.8016,False,5000000.0,0.2,5000000.0
154793226,114033546,96,Quận 1,9223.0,Phường Cầu Ông Lãnh,Ðề Thám,True,"Căn hộ dịch vụ, mini",38.0,1,1.0,106.6958,10.7629,False,8500000.0,0.223684210526315,8500000.0
149752638,109708171,119,Thành phố Thủ Đức,9241.0,Phường Tam Bình (Quận Thủ Đức cũ),Tam Bình,True,Chung cư,62.0,2,2.0,106.734,10.8669,False,0.0,0.12903225806451601,8000000.0
155094990,114295702,109,Quận Bình Thạnh,9296.0,Phường 22,Nguyễn Hữu Cảnh,True,Chung cư,84.0,2,2.0,106.7201,10.793800000000001,False,42000000.0,0.25,21000000.0
154792910,114033562,107,Quận 12,9227.0,Phường Thạnh Xuân,Thạnh Xuân 13,True,Chung cư,66.0,2,2.0,106.6772,10.8786,False,0.0,0.11363636363636301,7500000.0
154944279,114164646,119,Thành phố Thủ Đức,9241.0,Phường Tam Bình (Quận Thủ Đức cũ),Đường Xa lộ Đại Hàn,True,Chung cư,52.0,2,2.0,106.736,10.8701,False,0.0,0.115384615384615,6000000.0
154944285,114164651,103,Quận 8,9452.0,Phường 6,Tạ Quang Bửu,True,Chung cư,68.0,2,2.0,106.6494,10.7316,False,0.0,0.154411764705882,10500000.0
154793271,114033586,113,Quận Tân Phú,9322.0,Phường Hòa Thạnh,Thoại Ngọc Hầu,True,"Căn hộ dịch vụ, mini",35.0,1,1.0,106.6409,10.7854,False,0.0,0.12000000000000001,4200000.0
154944300,114164660,109,Quận Bình Thạnh,9282.0,Phường 26,Nguyễn Xí,True,Chung cư,53.0,1,1.0,106.7101,10.8123,False,0.0,0.17924528301886702,9500000.0
155095024,114295740,112,Quận Tân Bình,9313.0,Phường 15,Hẻm 87  Nguyễn Sỹ Sách,True,"Căn hộ dịch vụ, mini",70.0,2,1.0,106.6368,10.8214,False,8500000.0,0.12142857142857101,8500000.0
154944325,114164681,119,Thành phố Thủ Đức,9341.0,Phường An Phú (Quận 2 cũ),Mai Chí Thọ,True,Chung cư,60.0,2,1.0,106.752,10.7966,False,0.0,0.216666666666666,13000000.0
154793299,114033614,119,Thành phố Thủ Đức,9348.0,Phường Thạnh Mỹ Lợi (Quận 2 cũ),Tạ Hiện,True,"Căn hộ dịch vụ, mini",40.0,1,1.0,106.7527,10.7778,False,0.0,0.17500000000000002,7000000.0
154944356,114164707,115,Huyện Bình Chánh,9509.0,Thị trấn Tân Túc,Tân Túc,True,Chung cư,69.0,2,2.0,106.5854,10.6868,False,6500000.0,0.094202898550724,6500000.0
154793321,114033636,110,Quận Gò Vấp,9268.0,Phường 12,Nguyễn Tư Giản,True,"Căn hộ dịch vụ, mini",20.0,1,1.0,106.6384,10.8325,False,2500000.0,0.125,2500000.0
154029951,113378282,119,Thành phố Thủ Đức,9347.0,Phường Cát Lái (Quận 2 cũ),Đường số 58,True,Chung cư,40.0,1,1.0,106.7938,10.7718,False,0.0,0.0975,3900000.0
155095102,114295799,99,Quận 4,9409.0,Phường 15,Tôn Thất Thuyết,False,"Căn hộ dịch vụ, mini",40.0,1,1.0,106.7052,10.7531,False,9800000.0,0.24500000000000002,9800000.0
150209275,110101498,110,Quận Gò Vấp,9271.0,Phường 5,Nguyễn Văn Lượng,True,"Căn hộ dịch vụ, mini",20.0,1,1.0,106.6779,10.8385,False,0.0,0.18,3600000.0
153725099,113116164,102,Quận 7,9466.0,Phường Tân Thuận Đông,Bùi Văn Ba,True,Chung cư,95.0,3,2.0,106.7359,10.7504,False,36000000.0,0.18947368421052602,18000000.0
154335589,113640458,103,Quận 8,9447.0,Phường 4,Cao Lỗ,True,Chung cư,85.0,3,2.0,106.6781,10.739,False,0.0,0.170588235294117,14500000.0
153419270,112854037,109,Quận Bình Thạnh,9293.0,Phường 3,Lê Văn Duyệt,True,Chung cư,30.0,1,1.0,106.6961,10.7983,False,0.0,0.21,6300000.0
155095146,114295832,102,Quận 7,9473.0,Phường Tân Phú,Phú Thuận,True,Chung cư,85.0,2,2.0,106.731,10.7295,False,32000000.0,0.18823529411764703,16000000.0
154944441,114164764,102,Quận 7,9468.0,Phường Tân Kiểng,Đường số 3,True,Chung cư,35.0,1,1.0,106.7087,10.7479,False,5000000.0,0.14285714285714202,5000000.0
152809738,112329759,100,Quận 5,9411.0,Phường 4,An Dương Vương,True,Chung cư,45.0,1,1.0,106.6807,10.7601,False,0.0,0.22222222222222202,10000000.0
152044356,111674414,109,Quận Bình Thạnh,9282.0,Phường 26,Nguyễn Gia Trí,True,Chung cư,40.0,1,1.0,106.71591,10.8042345,False,8000000.0,0.2,8000000.0
154182948,113509449,109,Quận Bình Thạnh,9287.0,Phường 24,Đường Bùi Đình Tuý,True,Chung cư,50.0,1,1.0,106.6989,10.807,False,8.0,0.16,8000000.0
153266899,112723026,111,Quận Phú Nhuận,9327.0,Phường 9,Hồng Hà,True,Chung cư,20.0,1,1.0,106.6741,10.8091,False,0.0,0.25,5000000.0
154793467,114033756,109,Quận Bình Thạnh,9284.0,Phường 25,Xô Viết Nghệ Tĩnh,True,"Căn hộ dịch vụ, mini",18.0,1,1.0,106.7115,10.8055,False,1000000.0,0.277777777777777,5000000.0
154944532,114164830,119,Thành phố Thủ Đức,9340.0,Phường Thảo Điền (Quận 2 cũ),Xa Lộ Hà Nội,True,Chung cư,65.0,2,2.0,106.7398,10.8013,False,0.0,0.30769230769230704,20000000.0
152962992,112460901,112,Quận Tân Bình,9301.0,Phường 12,Đường Nguyễn Minh Hoàng,True,"Căn hộ dịch vụ, mini",20.0,1,1.0,106.6498,10.8001,False,0.0,0.2,4000000.0
155095235,114295910,112,Quận Tân Bình,9305.0,Phường 11,Phan Sào Nam,True,"Căn hộ dịch vụ, mini",45.0,1,1.0,106.6452,10.7883,False,0.0,0.126666666666666,5700000.0
151738145,111412329,119,Thành phố Thủ Đức,9343.0,Phường Bình Trưng Đông (Quận 2 cũ),Đường Lê Văn Thịnh,True,"Căn hộ dịch vụ, mini",27.0,1,1.0,106.7694,10.7819,False,0.0,0.129629629629629,3500000.0
154944562,114164844,113,Quận Tân Phú,9316.0,Phường Sơn Kỳ,Cn13,True,Chung cư,40.0,1,1.0,106.6109,10.8083,False,0.0,0.1125,4500000.0
154793438,114033773,102,Quận 7,9472.0,Phường Phú Thuận,Đào Trí,True,Chung cư,66.0,2,2.0,106.7433,10.722,False,24000000.0,0.18181818181818102,12000000.0
154030098,113378419,119,Thành phố Thủ Đức,9343.0,Phường Bình Trưng Đông (Quận 2 cũ),Trương Văn Bang ,True,"Căn hộ dịch vụ, mini",40.0,1,1.0,106.7729,10.7895,False,0.0,0.13999999999999901,5600000.0
